id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,urls/0,replies_count,retweets_count,likes_count,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,retweet_date,translate,trans_src,trans_dest,reply_to/0/screen_name,reply_to/0/name,reply_to/0/id,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,mentions/0/screen_name,mentions/0/name,mentions/0/id,mentions/1/screen_name,mentions/1/name,mentions/1/id,reply_to/1/screen_name,reply_to/1/name,reply_to/1/id,reply_to/2/screen_name,reply_to/2/name,reply_to/2/id,reply_to/3/screen_name,reply_to/3/name,reply_to/3/id,photos/0,photos/1,photos/2,reply_to/4/screen_name,reply_to/4/name,reply_to/4/id,reply_to/5/screen_name,reply_to/5/name,reply_to/5/id,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,urls/1,mentions/2/screen_name,mentions/2/name,mentions/2/id,mentions/3/screen_name,mentions/3/name,mentions/3/id
1314697407049937000,1314697407049936898,2020-10-10 05:41:02 SE Asia Standard Time,2020-10-10,05:41:02,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1314697407049936898,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314535741112811500,1314535741112811523,2020-10-09 18:58:38 SE Asia Standard Time,2020-10-09,18:58:38,+0700,1183032408255287300,juyeonjaksel,‏jean,,"padahal transportasi umum fav gue bgt, sebelum covid bisa sampe tiap hari naik mrt terus, kmrnan pas psbb transisi aja klo mau ke kantor pasti slalu naik ini, sedih bisa ancur begini 😌",in,,0,0,0,https://twitter.com/juyeonjaksel/status/1314535741112811523,false,https://twitter.com/iyanners/status/1314361560278605824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314498560096780300,1314490170964549632,2020-10-09 16:30:53 SE Asia Standard Time,2020-10-09,16:30:53,+0700,624211261,a_doni95,Aditia  Doni  S,,"@KompasTV Dari berita udh banyak sekali,  Para Politikus,birokrat tampak tenang2 aja.  Apakah Terkait kebijakan PSBB transisi atau hasil test positif corona,  Oknum TNI ngamuk dan menyerang  polsek Ciracas?",in,,0,0,0,https://twitter.com/a_doni95/status/1314498560096780290,false,,0,,,,,,,,,,,,KompasTV,KOMPAS TV,71436318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314495068385038300,1314495068385038336,2020-10-09 16:17:01 SE Asia Standard Time,2020-10-09,16:17:01,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1314495068385038336,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314438933032300500,1314438926715637766,2020-10-09 12:33:57 SE Asia Standard Time,2020-10-09,12:33:57,+0700,966117497219948500,ornithogalumm,agul,,"psbb ini bakal berakhir bentar lagi. gatau mau diperpanjang, atau jadi psbb transisi lagi. yang jelas, gw bakal mencoba buat ga pergi ke tempat keramaian supaya bisa memutus rantai penyebaran.",in,,1,0,0,https://twitter.com/ornithogalumm/status/1314438933032300544,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314395157144371200,1314393259540574209,2020-10-09 09:40:00 SE Asia Standard Time,2020-10-09,09:40:00,+0700,1037982819622871000,masand071,#sehatterus,,"@gerhardhulu jangan dong,,, udah hancur lebur nih,, masuk ke psbb transisi lg saja gpp deh",in,,0,0,0,https://twitter.com/Masand071/status/1314395157144371200,false,,0,,,,,,,,,,,,gerhardhulu,G,119026143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314352695445127200,1314352695445127169,2020-10-09 06:51:16 SE Asia Standard Time,2020-10-09,06:51:16,+0700,103535016,budihasan,budi hasan,,Halo apa kabarnya status PSBB? Apakah masih diperpanjang or dimulai dengan PSBB transisi lagi kah?kok gk ada kabarnya?,in,,0,0,0,https://twitter.com/budihasan/status/1314352695445127169,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314247565433548800,1314247565433548801,2020-10-08 23:53:31 SE Asia Standard Time,2020-10-08,23:53:31,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1314247565433548801,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314227370539266000,1314227370539266048,2020-10-08 22:33:16 SE Asia Standard Time,2020-10-08,22:33:16,+0700,176324461,ikhsanndi,Sandi Ikhsan,,Nutmeg #tbt #smsfsoccer . . . . . . . . . . . . . . . . . . . . . #soccer #minisoccerjakarta #nutmeg #realmadrid #pakaimasker #jagajarak #covid_19 #psbbtransisi #appleinsta #instasport @ Vidi Mini Soccer Pulomas  https://t.co/BKnYxxqCeu,da,https://www.instagram.com/p/CGFnRlygNrm/?igshid=1av31fxie9lx5,0,0,0,https://twitter.com/ikhsanndi/status/1314227370539266048,false,,0,,,,,,,,,,,,,,,tbt,smsfsoccer,soccer,minisoccerjakarta,nutmeg,realmadrid,pakaimasker,jagajarak,covid_19,psbbtransisi,appleinsta,instasport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314223144547229700,1314213188007682048,2020-10-08 22:16:29 SE Asia Standard Time,2020-10-08,22:16:29,+0700,1147145706395725800,visitortwt1,@visitortwt,,"@MurtadhaOne1 @Beritasatu @ainunnajib @KawalCOVID19 Mingkem mas @ainunnajib krn ginian gak ada di Singapore pandemi ya dimasa civud 19. Klu pemerintah Singapore liat demo2 gini, apa ya yg mereka lakukan? Mohon pencerahan untuk @aniesbaswedan yg kurang paham PSBB transisi itu apa. #PercayaJokowi",in,,0,0,0,https://twitter.com/visitortwt1/status/1314223144547229696,false,,0,,,,,,,,,,,,MurtadhaOne1,ꦩꦸꦂꦠꦝ,1178950184601935873,percayajokowi,,,,,,,,,,,,ainunnajib,ainun najib,35167068,aniesbaswedan,anies baswedan | sudah #vaksindulu,110312278,Beritasatu,BeritaSatu,154102750,ainunnajib,Ainun Najib,35167068,KawalCOVID19,KawalCOVID19 #62COVIDSOS,1233994338922684416,,,,,,,,,,,,,,,,,,,,,
1314204934749909000,1314204574282993664,2020-10-08 21:04:07 SE Asia Standard Time,2020-10-08,21:04:07,+0700,3129786378,kejo_online,Jasa ojek langganan orang 💉💉,,"@msvcxyz Balik ke PSBB transisi aja harusnya, toh pada rame-ramean juga.",in,,0,0,0,https://twitter.com/kejO_Online/status/1314204934749908997,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314193421460934700,1314185681879490560,2020-10-08 20:18:22 SE Asia Standard Time,2020-10-08,20:18:22,+0700,1033756767644082200,dudunkcobain,ini adalah,,"@dunhillitem masih miii kmrn pas psbb transisi gue maen, skrg jg buka",in,,1,0,0,https://twitter.com/dudunkcobain/status/1314193421460934658,false,,0,,,,,,,,,,,,dunhillitem,fahmi,2201256757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314147990211162000,1314147990211162112,2020-10-08 17:17:51 SE Asia Standard Time,2020-10-08,17:17:51,+0700,1297443086,pakaroti,Pakaroti,,"Berikut rahasia empuk Roti Naan yang merupakan roti beragi yang dibuat dari tepung gandum, yang merupakan masakan populer asal Asia Barat, Asia Tengah, Subbenua India, dan Asia Tenggara.  #Pakarians #TriviaPakaroti #AlatBaking #AlatDapur #TipsBaking #Roti #Psbb #PsbbTransisi  https://t.co/u8tKpd2smg",in,,0,0,1,https://twitter.com/PakaRoti/status/1314147990211162112,false,,1,https://pbs.twimg.com/media/EjzKoTqUYAA4Si8.jpg,,,,,,,,,,,,,,pakarians,triviapakaroti,alatbaking,alatdapur,tipsbaking,roti,psbb,psbbtransisi,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/EjzKoTqUYAA4Si8.jpg,,,,,,,,,,,,,,,,,,,,
1313969672753217500,1313969672753217536,2020-10-08 05:29:17 SE Asia Standard Time,2020-10-08,05:29:17,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1313969672753217536,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313861873926692900,1313820884725985283,2020-10-07 22:20:55 SE Asia Standard Time,2020-10-07,22:20:55,+0700,946363405,wellylie99,polusi udara membunuhmu 🌴,,@Bisniscom Bln 3-6 kan psbb pertama. Lanjut psbb transisi. Bln 9 psbb lagi hingga tgl 10/10/2020 jelas aja import menurun krn gak ada pelaku bisnis yg buka usaha termasuk mall. Skrg aja gak ada brg dagangan krn pasokannya terputus nih. Buruknya lagi PHK uda kebanyakan khususnya jakarta,in,,0,0,2,https://twitter.com/wellylie99/status/1313861873926692864,false,,0,,,,,,,,,,,,Bisniscom,Bisnis.com,118646322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313827302300512300,1313810004823035905,2020-10-07 20:03:33 SE Asia Standard Time,2020-10-07,20:03:33,+0700,1057158238779539500,catatankaqihati,ıʇɐɥıʞɐʞuɐʇɐʇɐƆ,,Tunggu bbrp hari lg pak @ridwankamil akan ad lonjakan. Kok gk berkaca dr Dki jkt yg mbolehkan demo saat psbb transisi kasus postifny cendrung naik drastis pak? Saya kecewa pak.  https://t.co/6iEWsJMxOP,in,,2,1,1,https://twitter.com/catatankaqihati/status/1313827302300512262,false,,1,https://pbs.twimg.com/media/Ejum9kBVgAEkTNB.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,ridwankamil,ridwan kamil,80323736,,,,,,,,,,,,,https://pbs.twimg.com/media/Ejum9kBVgAEkTNB.jpg,,,,,,,,,,,,,,,,,,,,
1313748427256209400,1313748427256209409,2020-10-07 14:50:07 SE Asia Standard Time,2020-10-07,14:50:07,+0700,1198599167800533000,kodim0504,Kodim0504JakartaSelatan,,"Koramil 02 /MP dipimpin Danramil Mayor Arh Slamet   Melaksanaan Apel Tiga Pilar PSBB Transisi sesuai Pergub No.88 Tahun 2020 Tentang Pelaksanaan Pembatasan Sosial Berskala Besar Pada Masa Transisi Menuju Masyarakat Sehat, Aman dan Produktif di Wilayah Kel Pancoran.  https://t.co/H2qLi2pmJv",in,,0,0,1,https://twitter.com/kodim0504/status/1313748427256209409,false,,1,https://pbs.twimg.com/media/EjtfNS1VgAAuspR.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://pbs.twimg.com/media/EjtfNS1VgAAuspR.jpg,https://pbs.twimg.com/media/EjtfOJ_UwAEMAv1.jpg,https://pbs.twimg.com/media/EjtfOX9UwAAeADy.jpg,,,,,,,,,,,,,,,,,,
1313612160724066300,1313612160724066306,2020-10-07 05:48:39 SE Asia Standard Time,2020-10-07,05:48:39,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1313612160724066306,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313355958169612300,1313355958169612288,2020-10-06 12:50:36 SE Asia Standard Time,2020-10-06,12:50:36,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1313355958169612288,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313351922896650200,1313075733678321664,2020-10-06 12:34:33 SE Asia Standard Time,2020-10-06,12:34:33,+0700,486206650,bank_dki,bank_dki,,"@jalalsangar Selamat Siang Bpk/Ibu, mohon maaf atas ketidaknyamanannya. Dapat kami sampaikan selama PSBB transisi pelayanan Bank DKI beroperasional pukul 08.30 - 14.00 WIB.",in,,1,0,0,https://twitter.com/bank_dki/status/1313351922896650241,false,,0,,,,,,,,,,,,jalalsangar,Jalal Sofan Fitri,73826259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313326359523909600,1313125019417939972,2020-10-06 10:52:59 SE Asia Standard Time,2020-10-06,10:52:59,+0700,3781177334,mmediocreman,👻 aaryn/SONA 👑🐃 (COMM OPEN),,"@ahjojing Wah telat bgt 3 bulan masa baru ngeh transisi psbb g ngaruh Kalo lo google ""psbb jkt sampe kapan"" Smua artikel nyingging keputusan itu utk majuin agenda personal politik anies Dan kita smua jg udh tau",in,,1,0,0,https://twitter.com/mmediocreman/status/1313326359523909632,false,,0,,,,,,,,,,,,ahjojing,a h j o @ crawling back,933785863493861376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313283053607956500,1313283053607956480,2020-10-06 08:00:54 SE Asia Standard Time,2020-10-06,08:00:54,+0700,272841361,gadgetdivaid,Gadget Diva ID,,"Youtap mencatat transaksi non-tunai di ekosistemnya meningkat 4,5 kali lipat selama 100 hari PSBB transisi.  https://t.co/PrjFp88kj7",in,https://gadgetdiva.id/ecommerce/15011-peningkatan-transaksi-non-tunai-youtap-selama-psbb-transisi/,0,0,0,https://twitter.com/gadgetdivaID/status/1313283053607956480,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313265602878816300,1313265602878816256,2020-10-06 06:51:33 SE Asia Standard Time,2020-10-06,06:51:33,+0700,85805755,mostradio1058fm,MOST RADIO 105.8 FM,,"Kadishub DKI Jakarta Syafrin Liputo menyatakan ada penurunan volume kendaraan selama pelaksanaan PSBB pengetatan sejak 14 September - 4 Oktober 2020. Rata-rata volume kendaraan mengalami penurunan sebesar 10,17 % per hari bila dibandingkan dengan PSBB transisi.#MostUpdate1058",in,,0,0,0,https://twitter.com/mostradio1058fm/status/1313265602878816256,false,,0,,,,,,,,,,,,,,,mostupdate1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313178917277184000,1313178917277184000,2020-10-06 01:07:06 SE Asia Standard Time,2020-10-06,01:07:06,+0700,2917064060,lenterakris,LenteraKristiani.com,,Pergub Baru Anies: Motor Pribadi Kena Ganjil Genap Saat PSBB Transisi  https://t.co/lK5AKbgE5D,in,https://ahbnews.com/pergub-baru-anies-motor-pribadi-kena-ganjil-genap-saat-psbb-transisi/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost,0,0,0,https://twitter.com/LenteraKris/status/1313178917277184000,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313149448269312000,1313149448269312001,2020-10-05 23:10:00 SE Asia Standard Time,2020-10-05,23:10:00,+0700,68930552,mediaindonesia,Media Indonesia,,"""Volume lalu lintas kendaraan bermotor rata-rata per hari mengalami penurunan sebesar 10,17%, dibandingkan saat pemberlakuan PSBB transisi,"" ujar Kepala Dinas Perhubungan DKI Syafrin   https://t.co/xfUaUkzYF2",in,https://mediaindonesia.com/read/detail/350363-penumpang-angkutan-umum-turun-19-selama-psbb,0,0,2,https://twitter.com/mediaindonesia/status/1313149448269312001,false,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
